timestamp,node_id,device_id,device_name,value,pin
2026-02-19 17:58:14,AAA,AAA001,pH 센서,59.7,GPIO0(ADC)
2026-02-19 17:58:14,AAA,AAA002,EC 센서,28.67,GPIO1(ADC)
2026-02-19 17:58:14,AAB,AAB001,pH 센서,86.16,GPIO0(ADC)
2026-02-19 17:58:14,AAC,AAC001,수위 센서,81.73,GPIO0(ADC)
2026-02-19 17:58:14,AAD,AAD001,온도 센서,60.66,GPIO5
2026-02-19 17:58:14,AAE,AAE001,조도(PPFD) 센서,71.7,GPIO0(ADC)
2026-02-19 17:58:14,AAF,AAF001,DO(용존산소) 센서,9.25,GPIO0(ADC)
2026-02-19 17:58:14,AAG,AAG001,습도 센서,54.96,GPIO0(ADC)
2026-02-19 17:58:14,AAH,AAH001,CO2 센서,82.51,GPIO0(ADC)
2026-02-19 17:58:14,AAI,AAI001,수온 센서,88.24,GPIO0(ADC)
2026-02-19 17:58:14,AAJ,AAJ001,양액탱크 레벨 센서,98.52,GPIO0(ADC)
2026-02-19 17:59:14,AAA,AAA001,pH 센서,37.17,GPIO0(ADC)
2026-02-19 17:59:14,AAA,AAA002,EC 센서,5.99,GPIO1(ADC)
2026-02-19 17:59:14,AAB,AAB001,pH 센서,58.5,GPIO0(ADC)
2026-02-19 17:59:14,AAC,AAC001,수위 센서,80.97,GPIO0(ADC)
2026-02-19 17:59:14,AAD,AAD001,온도 센서,3.76,GPIO5
2026-02-19 17:59:14,AAE,AAE001,조도(PPFD) 센서,99.58,GPIO0(ADC)
2026-02-19 17:59:14,AAF,AAF001,DO(용존산소) 센서,57.21,GPIO0(ADC)
2026-02-19 17:59:14,AAG,AAG001,습도 센서,48.79,GPIO0(ADC)
2026-02-19 17:59:14,AAH,AAH001,CO2 센서,0.15,GPIO0(ADC)
2026-02-19 17:59:14,AAI,AAI001,수온 센서,42.75,GPIO0(ADC)
2026-02-19 17:59:14,AAJ,AAJ001,양액탱크 레벨 센서,55.47,GPIO0(ADC)
2026-02-19 18:24:08,AAA,AAA001,pH 센서,93.84,GPIO0(ADC)
2026-02-19 18:24:08,AAA,AAA002,EC 센서,55.16,GPIO1(ADC)
2026-02-19 18:24:08,AAB,AAB001,pH 센서,54.5,GPIO0(ADC)
2026-02-19 18:24:08,AAC,AAC001,수위 센서,73.41,GPIO0(ADC)
2026-02-19 18:24:08,AAD,AAD001,온도 센서,60.15,GPIO5
2026-02-19 18:24:08,AAE,AAE001,조도(PPFD) 센서,10.9,GPIO0(ADC)
2026-02-19 18:24:08,AAF,AAF001,DO(용존산소) 센서,41.62,GPIO0(ADC)
2026-02-19 18:24:08,AAG,AAG001,습도 센서,45.01,GPIO0(ADC)
2026-02-19 18:24:08,AAH,AAH001,CO2 센서,48.09,GPIO0(ADC)
2026-02-19 18:24:08,AAI,AAI001,수온 센서,59.85,GPIO0(ADC)
2026-02-19 18:24:08,AAJ,AAJ001,양액탱크 레벨 센서,98.54,GPIO0(ADC)
2026-02-19 18:28:37,AAA,AAA001,pH 센서,70.94,GPIO0(ADC)
2026-02-19 18:28:37,AAA,AAA002,EC 센서,13.03,GPIO1(ADC)
2026-02-19 18:28:37,AAB,AAB001,pH 센서,7.59,GPIO0(ADC)
2026-02-19 18:28:37,AAC,AAC001,수위 센서,15.62,GPIO0(ADC)
2026-02-19 18:28:37,AAD,AAD001,온도 센서,53.48,GPIO5
2026-02-19 18:28:37,AAE,AAE001,조도(PPFD) 센서,72.14,GPIO0(ADC)
2026-02-19 18:28:37,AAF,AAF001,DO(용존산소) 센서,31.92,GPIO0(ADC)
2026-02-19 18:28:37,AAG,AAG001,습도 센서,55.6,GPIO0(ADC)
2026-02-19 18:28:37,AAH,AAH001,CO2 센서,60.66,GPIO0(ADC)
2026-02-19 18:28:37,AAI,AAI001,수온 센서,59.26,GPIO0(ADC)
2026-02-19 18:28:37,AAJ,AAJ001,양액탱크 레벨 센서,41.93,GPIO0(ADC)
2026-02-19 18:29:37,AAA,AAA001,pH 센서,71.33,GPIO0(ADC)
2026-02-19 18:29:37,AAA,AAA002,EC 센서,53.52,GPIO1(ADC)
2026-02-19 18:29:37,AAB,AAB001,pH 센서,76.38,GPIO0(ADC)
2026-02-19 18:29:37,AAC,AAC001,수위 센서,49.57,GPIO0(ADC)
2026-02-19 18:29:37,AAD,AAD001,온도 센서,6.03,GPIO5
2026-02-19 18:29:37,AAE,AAE001,조도(PPFD) 센서,79.86,GPIO0(ADC)
2026-02-19 18:29:37,AAF,AAF001,DO(용존산소) 센서,26.48,GPIO0(ADC)
2026-02-19 18:29:37,AAG,AAG001,습도 센서,56.57,GPIO0(ADC)
2026-02-19 18:29:37,AAH,AAH001,CO2 센서,42.58,GPIO0(ADC)
2026-02-19 18:29:37,AAI,AAI001,수온 센서,66.91,GPIO0(ADC)
2026-02-19 18:29:37,AAJ,AAJ001,양액탱크 레벨 센서,0.28,GPIO0(ADC)
2026-02-19 18:32:22,AAA,AAA001,pH 센서,38.59,GPIO0(ADC)
2026-02-19 18:32:22,AAA,AAA002,EC 센서,33.12,GPIO1(ADC)
2026-02-19 18:32:22,AAB,AAB001,pH 센서,99.36,GPIO0(ADC)
2026-02-19 18:32:22,AAC,AAC001,수위 센서,48.52,GPIO0(ADC)
2026-02-19 18:32:22,AAD,AAD001,온도 센서,35.0,GPIO5
2026-02-19 18:32:22,AAE,AAE001,조도(PPFD) 센서,21.55,GPIO0(ADC)
2026-02-19 18:32:22,AAF,AAF001,DO(용존산소) 센서,81.22,GPIO0(ADC)
2026-02-19 18:32:22,AAG,AAG001,습도 센서,11.76,GPIO0(ADC)
2026-02-19 18:32:22,AAH,AAH001,CO2 센서,89.89,GPIO0(ADC)
2026-02-19 18:32:22,AAI,AAI001,수온 센서,31.88,GPIO0(ADC)
2026-02-19 18:32:22,AAJ,AAJ001,양액탱크 레벨 센서,42.49,GPIO0(ADC)
2026-02-19 18:33:22,AAA,AAA001,pH 센서,27.35,GPIO0(ADC)
2026-02-19 18:33:22,AAA,AAA002,EC 센서,95.26,GPIO1(ADC)
2026-02-19 18:33:22,AAB,AAB001,pH 센서,8.08,GPIO0(ADC)
2026-02-19 18:33:22,AAC,AAC001,수위 센서,73.96,GPIO0(ADC)
2026-02-19 18:33:22,AAD,AAD001,온도 센서,76.69,GPIO5
2026-02-19 18:33:22,AAE,AAE001,조도(PPFD) 센서,57.14,GPIO0(ADC)
2026-02-19 18:33:22,AAF,AAF001,DO(용존산소) 센서,97.3,GPIO0(ADC)
2026-02-19 18:33:22,AAG,AAG001,습도 센서,32.33,GPIO0(ADC)
2026-02-19 18:33:22,AAH,AAH001,CO2 센서,7.36,GPIO0(ADC)
2026-02-19 18:33:22,AAI,AAI001,수온 센서,71.41,GPIO0(ADC)
2026-02-19 18:33:22,AAJ,AAJ001,양액탱크 레벨 센서,96.1,GPIO0(ADC)
2026-02-19 18:34:23,AAA,AAA001,pH 센서,59.1,GPIO0(ADC)
2026-02-19 18:34:23,AAA,AAA002,EC 센서,91.11,GPIO1(ADC)
2026-02-19 18:34:23,AAB,AAB001,pH 센서,98.21,GPIO0(ADC)
2026-02-19 18:34:23,AAC,AAC001,수위 센서,11.71,GPIO0(ADC)
2026-02-19 18:34:23,AAD,AAD001,온도 센서,89.04,GPIO5
2026-02-19 18:34:23,AAE,AAE001,조도(PPFD) 센서,95.5,GPIO0(ADC)
2026-02-19 18:34:23,AAF,AAF001,DO(용존산소) 센서,69.66,GPIO0(ADC)
2026-02-19 18:34:23,AAG,AAG001,습도 센서,11.91,GPIO0(ADC)
2026-02-19 18:34:23,AAH,AAH001,CO2 센서,24.62,GPIO0(ADC)
2026-02-19 18:34:23,AAI,AAI001,수온 센서,6.39,GPIO0(ADC)
2026-02-19 18:34:23,AAJ,AAJ001,양액탱크 레벨 센서,76.29,GPIO0(ADC)
2026-02-19 18:35:23,AAA,AAA001,pH 센서,78.76,GPIO0(ADC)
2026-02-19 18:35:23,AAA,AAA002,EC 센서,29.44,GPIO1(ADC)
2026-02-19 18:35:23,AAB,AAB001,pH 센서,74.65,GPIO0(ADC)
2026-02-19 18:35:23,AAC,AAC001,수위 센서,0.29,GPIO0(ADC)
2026-02-19 18:35:23,AAD,AAD001,온도 센서,74.43,GPIO5
2026-02-19 18:35:23,AAE,AAE001,조도(PPFD) 센서,11.28,GPIO0(ADC)
2026-02-19 18:35:23,AAF,AAF001,DO(용존산소) 센서,25.01,GPIO0(ADC)
